"","X","POSname","NEGname","CommonName","Trtmt","Day","Cmpd","Class","ContainsN","PeakArea"
"43",43,"23S_POS.mzML","23S_NEG.mzML","Root_2day","X",2,"salicylic.acid","OA","N",3425832.58
"44",44,"3S_POS.mzML","3S_NEG.mzML","Root_2day","X",2,"salicylic.acid","OA","N",1973192.46
"45",45,"43S_POS.mzML","43S_NEG.mzML","Root_2day","X",2,"salicylic.acid","OA","N",2174916.49
"46",46,"25S_POS.mzML","25S_NEG.mzML","Root_3.5day","X",3.5,"salicylic.acid","OA","N",5605091.42
"47",47,"45S_POS.mzML","45S_NEG.mzML","Root_3.5day","X",3.5,"salicylic.acid","OA","N",10501057.11
"48",48,"5S_POS.mzML","5S_NEG.mzML","Root_3.5day","X",3.5,"salicylic.acid","OA","N",7002010.7
"49",49,"27S_POS.mzML","27S_NEG.mzML","Root_5.5day","X",5.5,"salicylic.acid","OA","N",5338632.59
"50",50,"47S_POS.mzML","47S_NEG.mzML","Root_5.5day","X",5.5,"salicylic.acid","OA","N",11868102.8
"51",51,"7S_POS.mzML","7S_NEG.mzML","Root_5.5day","X",5.5,"salicylic.acid","OA","N",5249493.15
"52",52,"61S_POS.mzML","61S_NEG.mzML","Root_7.5day","X",7.5,"salicylic.acid","OA","N",9007316.04
"53",53,"63S_POS.mzML","63S_NEG.mzML","Root_7.5day","X",7.5,"salicylic.acid","OA","N",1672451.8
"54",54,"65S_POS.mzML","65S_NEG.mzML","Root_7.5day","X",7.5,"salicylic.acid","OA","N",6987436.68
"55",55,"17S_POS.mzML","17S_NEG.mzML","Bulk_N_soil","N",0,"salicylic.acid","OA","N",1069189.44
"56",56,"39S_POS.mzML","39S_NEG.mzML","Bulk_N_soil","N",0,"salicylic.acid","OA","N",606466.89
"57",57,"59S_POS.mzML","59S_NEG.mzML","Bulk_N_soil","N",0,"salicylic.acid","OA","N",732525.77
"58",58,"11S_POS.mzML","11S_NEG.mzML","Root_N_1day","N",1,"salicylic.acid","OA","N",902154.03
"59",59,"31S_POS.mzML","31S_NEG.mzML","Root_N_1day","N",1,"salicylic.acid","OA","N",1100874.9
"60",60,"51S_POS.mzML","51S_NEG.mzML","Root_N_1day","N",1,"salicylic.acid","OA","N",1219868.18
"61",61,"13S_POS.mzML","13S_NEG.mzML","Root_N_2day","N",2,"salicylic.acid","OA","N",1499340.83
"62",62,"33S_POS.mzML","33S_NEG.mzML","Root_N_2day","N",2,"salicylic.acid","OA","N",1478716.72
"63",63,"53S_POS.mzML","53S_NEG.mzML","Root_N_2day","N",2,"salicylic.acid","OA","N",1434984.41
"64",64,"19S_POS.mzML","19S_NEG.mzML","Root_N_3.5day","N",3.5,"salicylic.acid","OA","N",2500077.66
"65",65,"35S_POS.mzML","35S_NEG.mzML","Root_N_3.5day","N",3.5,"salicylic.acid","OA","N",9601684.16
"66",66,"55S_POS.mzML","55S_NEG.mzML","Root_N_3.5day","N",3.5,"salicylic.acid","OA","N",5397549.9
"67",67,"15S_POS.mzML","15S_NEG.mzML","Root_N_5.5day","N",5.5,"salicylic.acid","OA","N",2007066.86
"68",68,"37S_POS.mzML","37S_NEG.mzML","Root_N_5.5day","N",5.5,"salicylic.acid","OA","N",3799424.54
"69",69,"57S_POS.mzML","57S_NEG.mzML","Root_N_5.5day","N",5.5,"salicylic.acid","OA","N",2346485.49
"70",70,"67S_POS.mzML","67S_NEG.mzML","Root_N_7.5day","N",7.5,"salicylic.acid","OA","N",4410487.27
"71",71,"69S_POS.mzML","69S_NEG.mzML","Root_N_7.5day","N",7.5,"salicylic.acid","OA","N",5303037.46
"72",72,"81S_POSre.mzML","81S_NEGre.mzML","Root_N_7.5day","N",7.5,"salicylic.acid","OA","N",3367694.65
"73",73,"29S_POS.mzML","29S_NEG.mzML","Bulk_soil","X",0,"adenine","Nt","Y",3020860.87
"74",74,"49S_POS.mzML","49S_NEG.mzML","Bulk_soil","X",0,"adenine","Nt","Y",3702015.17
"75",75,"9S_POS.mzML","9S_NEG.mzML","Bulk_soil","X",0,"adenine","Nt","Y",4231541.34
"76",76,"1S_POS.mzML","1S_NEG.mzML","Root_1day","X",1,"adenine","Nt","Y",3962361.54
"77",77,"21S_POS.mzML","21S_NEG.mzML","Root_1day","X",1,"adenine","Nt","Y",5387073.97
"78",78,"41S_POS.mzML","41S_NEG.mzML","Root_1day","X",1,"adenine","Nt","Y",3636098.09
"79",79,"23S_POS.mzML","23S_NEG.mzML","Root_2day","X",2,"adenine","Nt","Y",3497481.92
"80",80,"3S_POS.mzML","3S_NEG.mzML","Root_2day","X",2,"adenine","Nt","Y",3179942.31
"81",81,"43S_POS.mzML","43S_NEG.mzML","Root_2day","X",2,"adenine","Nt","Y",2657338.4
"82",82,"25S_POS.mzML","25S_NEG.mzML","Root_3.5day","X",3.5,"adenine","Nt","Y",4285799.62
"83",83,"45S_POS.mzML","45S_NEG.mzML","Root_3.5day","X",3.5,"adenine","Nt","Y",3794117.08
"84",84,"5S_POS.mzML","5S_NEG.mzML","Root_3.5day","X",3.5,"adenine","Nt","Y",4292421.15
"85",85,"27S_POS.mzML","27S_NEG.mzML","Root_5.5day","X",5.5,"adenine","Nt","Y",2870794.26
"86",86,"47S_POS.mzML","47S_NEG.mzML","Root_5.5day","X",5.5,"adenine","Nt","Y",3190811.2
"87",87,"7S_POS.mzML","7S_NEG.mzML","Root_5.5day","X",5.5,"adenine","Nt","Y",3633516.77
"88",88,"61S_POS.mzML","61S_NEG.mzML","Root_7.5day","X",7.5,"adenine","Nt","Y",3884936.7
"89",89,"63S_POS.mzML","63S_NEG.mzML","Root_7.5day","X",7.5,"adenine","Nt","Y",533573.58
"90",90,"65S_POS.mzML","65S_NEG.mzML","Root_7.5day","X",7.5,"adenine","Nt","Y",2966401.36
"91",91,"17S_POS.mzML","17S_NEG.mzML","Bulk_N_soil","N",0,"adenine","Nt","Y",3445681.61
"92",92,"39S_POS.mzML","39S_NEG.mzML","Bulk_N_soil","N",0,"adenine","Nt","Y",3096976.14
"93",93,"59S_POS.mzML","59S_NEG.mzML","Bulk_N_soil","N",0,"adenine","Nt","Y",2988256.3
"94",94,"11S_POS.mzML","11S_NEG.mzML","Root_N_1day","N",1,"adenine","Nt","Y",3437886.7
"95",95,"31S_POS.mzML","31S_NEG.mzML","Root_N_1day","N",1,"adenine","Nt","Y",3569814.98
"96",96,"51S_POS.mzML","51S_NEG.mzML","Root_N_1day","N",1,"adenine","Nt","Y",3366003.73
"97",97,"13S_POS.mzML","13S_NEG.mzML","Root_N_2day","N",2,"adenine","Nt","Y",3695176.7
"98",98,"33S_POS.mzML","33S_NEG.mzML","Root_N_2day","N",2,"adenine","Nt","Y",3625606.25
"99",99,"53S_POS.mzML","53S_NEG.mzML","Root_N_2day","N",2,"adenine","Nt","Y",2944353.25
"100",100,"19S_POS.mzML","19S_NEG.mzML","Root_N_3.5day","N",3.5,"adenine","Nt","Y",3662976.43
"101",101,"35S_POS.mzML","35S_NEG.mzML","Root_N_3.5day","N",3.5,"adenine","Nt","Y",4376089.76
"102",102,"55S_POS.mzML","55S_NEG.mzML","Root_N_3.5day","N",3.5,"adenine","Nt","Y",2890483.7
"103",103,"15S_POS.mzML","15S_NEG.mzML","Root_N_5.5day","N",5.5,"adenine","Nt","Y",3298189.05
"104",104,"37S_POS.mzML","37S_NEG.mzML","Root_N_5.5day","N",5.5,"adenine","Nt","Y",3410602.11
"105",105,"57S_POS.mzML","57S_NEG.mzML","Root_N_5.5day","N",5.5,"adenine","Nt","Y",2960516.83
"106",106,"67S_POS.mzML","67S_NEG.mzML","Root_N_7.5day","N",7.5,"adenine","Nt","Y",3077659.78
"107",107,"69S_POS.mzML","69S_NEG.mzML","Root_N_7.5day","N",7.5,"adenine","Nt","Y",3169258.29
"108",108,"81S_POSre.mzML","81S_NEGre.mzML","Root_N_7.5day","N",7.5,"adenine","Nt","Y",1627001.32
"109",109,"29S_POS.mzML","29S_NEG.mzML","Bulk_soil","X",0,"uridine","Nt","Y",9184813.45
"110",110,"49S_POS.mzML","49S_NEG.mzML","Bulk_soil","X",0,"uridine","Nt","Y",10940798.43
"111",111,"9S_POS.mzML","9S_NEG.mzML","Bulk_soil","X",0,"uridine","Nt","Y",14698702.69
"112",112,"1S_POS.mzML","1S_NEG.mzML","Root_1day","X",1,"uridine","Nt","Y",16155096.13
"113",113,"21S_POS.mzML","21S_NEG.mzML","Root_1day","X",1,"uridine","Nt","Y",36274812.49
"114",114,"41S_POS.mzML","41S_NEG.mzML","Root_1day","X",1,"uridine","Nt","Y",18832860.56
"115",115,"23S_POS.mzML","23S_NEG.mzML","Root_2day","X",2,"uridine","Nt","Y",16444843.49
"116",116,"3S_POS.mzML","3S_NEG.mzML","Root_2day","X",2,"uridine","Nt","Y",12512894.89
"117",117,"43S_POS.mzML","43S_NEG.mzML","Root_2day","X",2,"uridine","Nt","Y",8776911.15
"118",118,"25S_POS.mzML","25S_NEG.mzML","Root_3.5day","X",3.5,"uridine","Nt","Y",22173896.06
"119",119,"45S_POS.mzML","45S_NEG.mzML","Root_3.5day","X",3.5,"uridine","Nt","Y",13634050.2
"120",120,"5S_POS.mzML","5S_NEG.mzML","Root_3.5day","X",3.5,"uridine","Nt","Y",18704906.52
"121",121,"27S_POS.mzML","27S_NEG.mzML","Root_5.5day","X",5.5,"uridine","Nt","Y",8046637.36
"122",122,"47S_POS.mzML","47S_NEG.mzML","Root_5.5day","X",5.5,"uridine","Nt","Y",13717965
"123",123,"7S_POS.mzML","7S_NEG.mzML","Root_5.5day","X",5.5,"uridine","Nt","Y",14500656.95
"124",124,"61S_POS.mzML","61S_NEG.mzML","Root_7.5day","X",7.5,"uridine","Nt","Y",11348371.57
"125",125,"63S_POS.mzML","63S_NEG.mzML","Root_7.5day","X",7.5,"uridine","Nt","Y",855059.78
"126",126,"65S_POS.mzML","65S_NEG.mzML","Root_7.5day","X",7.5,"uridine","Nt","Y",12204904.58
"127",127,"17S_POS.mzML","17S_NEG.mzML","Bulk_N_soil","N",0,"uridine","Nt","Y",9548047.15
"128",128,"39S_POS.mzML","39S_NEG.mzML","Bulk_N_soil","N",0,"uridine","Nt","Y",9153266.77
"129",129,"59S_POS.mzML","59S_NEG.mzML","Bulk_N_soil","N",0,"uridine","Nt","Y",8962273.44
"130",130,"11S_POS.mzML","11S_NEG.mzML","Root_N_1day","N",1,"uridine","Nt","Y",13284873.01
"131",131,"31S_POS.mzML","31S_NEG.mzML","Root_N_1day","N",1,"uridine","Nt","Y",12514483.28
"132",132,"51S_POS.mzML","51S_NEG.mzML","Root_N_1day","N",1,"uridine","Nt","Y",13479430.15
"133",133,"13S_POS.mzML","13S_NEG.mzML","Root_N_2day","N",2,"uridine","Nt","Y",12740316.94
"134",134,"33S_POS.mzML","33S_NEG.mzML","Root_N_2day","N",2,"uridine","Nt","Y",12187954.99
"135",135,"53S_POS.mzML","53S_NEG.mzML","Root_N_2day","N",2,"uridine","Nt","Y",12571431.05
"136",136,"19S_POS.mzML","19S_NEG.mzML","Root_N_3.5day","N",3.5,"uridine","Nt","Y",12597786.84
"137",137,"35S_POS.mzML","35S_NEG.mzML","Root_N_3.5day","N",3.5,"uridine","Nt","Y",20208772.45
"138",138,"55S_POS.mzML","55S_NEG.mzML","Root_N_3.5day","N",3.5,"uridine","Nt","Y",9244614.18
"139",139,"15S_POS.mzML","15S_NEG.mzML","Root_N_5.5day","N",5.5,"uridine","Nt","Y",14637767.37
"140",140,"37S_POS.mzML","37S_NEG.mzML","Root_N_5.5day","N",5.5,"uridine","Nt","Y",12957764.56
